Team Name,Rank,AUC-ROC,Balanced Accuracy,ToxField
Bioinf@JKU-ensemble2,3,0.84913454,0.64299764,NR-PPAR-gamma
Bioinf@JKU-ensemble1,4,0.84017084,0.564965719,NR-PPAR-gamma
Bioinf@JKU,5,0.83929976,0.581094751,NR-PPAR-gamma
dmlab,6,0.83137574,0.547516017,NR-PPAR-gamma
AMAZIZ,7,0.82994268,0.762953805,NR-PPAR-gamma
T,8,0.82168147,0.785180398,NR-PPAR-gamma
frozenarm,9,0.80299539,0.532258065,NR-PPAR-gamma
ToxFit,10,0.79127796,0.548387097,NR-PPAR-gamma
 Bioinf@JKU,1,0.8399083,0.677209887,SR-ARE
Bioinf@JKU-ensemble4,2,0.83175069,0.715717079,SR-ARE
Bioinf@JKU-ensemble3,3,0.83175069,0.650293255,SR-ARE
Bioinf@JKU-ensemble2,4,0.83036587,0.728634269,SR-ARE
Bioinf@JKU-ensemble1,5,0.82746823,0.650293255,SR-ARE
AMAZIZ,6,0.80472932,0.71522832,SR-ARE
microsomes,7,0.80448494,0.605257646,SR-ARE
T,8,0.80134292,0.695887446,SR-ARE
NCI,9,0.78347996,0.711073872,SR-ARE
dmlab,10,0.76794442,0.519340874,SR-ARE
AMAZIZ,1,0.8281588,0.741077866,SR-ATAD5
T,2,0.813604,0.721611391,SR-ATAD5
microsomes,3,0.81195926,0.53861752,SR-ATAD5
dmlab,4,0.80037851,0.612427902,SR-ATAD5
Bioinf@JKU,5,0.79262797,0.721431146,SR-ATAD5
Bioinf@JKU-ensemble2,6,0.78902307,0.707732516,SR-ATAD5
Bioinf@JKU-ensemble4,7,0.78298486,0.706876352,SR-ATAD5
Bioinf@JKU-ensemble3,8,0.78298486,0.681957462,SR-ATAD5
Bioinf@JKU-ensemble1,9,0.77723955,0.667087239,SR-ATAD5
StructuralBionformatics@Charite,10,0.75119412,0.690158616,SR-ATAD5
 Bioinf@JKU-ensemble1,1,0.86471861,0.739795918,SR-HSE
Bioinf@JKU-ensemble3,2,0.86290198,0.763373531,SR-HSE
Bioinf@JKU-ensemble4,3,0.86290198,0.75487013,SR-HSE
Bioinf@JKU-ensemble2,4,0.86066017,0.75487013,SR-HSE
NCI,5,0.8580705,0.771799629,SR-HSE
Bioinf@JKU,6,0.85764533,0.596629561,SR-HSE
dmlab,7,0.85548083,0.563079777,SR-HSE
StructuralBionformatics@Charite,8,0.8516543,0.798778602,SR-HSE
AMAZIZ,9,0.84230056,0.747990105,SR-HSE
T,10,0.81060606,0.729514533,SR-HSE
 AMAZIZ,1,0.95022429,0.903571429,SR-MMP
dmlab,2,0.94584196,0.691770186,SR-MMP
Bioinf@JKU-ensemble2,3,0.94156315,0.833540373,SR-MMP
Bioinf@JKU,4,0.94052795,0.713664596,SR-MMP
Bioinf@JKU-ensemble4,5,0.93826777,0.823136646,SR-MMP
Bioinf@JKU-ensemble3,6,0.93826777,0.738664596,SR-MMP
T,7,0.936853,0.869202899,SR-MMP
Bioinf@JKU-ensemble1,8,0.93176329,0.74389234,SR-MMP
filipsPL,9,0.9284334,0.836024845,SR-MMP
RCC.ORG.RS,10,0.92016908,0.866252588,SR-MMP
dmlab,1,0.87991516,0.581018028,SR-p53
Bioinf@JKU,2,0.8616755,0.662926829,SR-p53
Bioinf@JKU-ensemble1,3,0.8571368,0.662926829,SR-p53
Bioinf@JKU-ensemble4,4,0.85641569,0.708250265,SR-p53
Bioinf@JKU-ensemble3,5,0.85641569,0.651601273,SR-p53
Bioinf@JKU-ensemble2,6,0.85297985,0.747444327,SR-p53
T,7,0.84680806,0.765005302,SR-p53
AMAZIZ,8,0.84349947,0.72407211,SR-p53
StructuralBionformatics@Charite,9,0.83406151,0.764135737,SR-p53
microsomes,10,0.82559915,0.522651113,SR-p53
